,Unnamed: 0,Unnamed: 0.1,num_not_judged,prob_not_judged,n,N,n/N
456,456,456.0,0,0.0,0.0,0.0,0.0
457,457,457.0,0,0.0,0.0,0.0,0.0
458,458,458.0,0,0.0,0.0,0.0,0.0
459,459,459.0,0,0.0,0.0,0.0,0.0
460,460,460.0,0,0.0,0.0,0.0,0.0
461,461,461.0,0,0.0,0.0,0.0,0.0
462,462,462.0,0,0.0,0.0,0.0,0.0
463,463,463.0,0,0.0,0.0,0.0,0.0
464,464,464.0,0,0.0,0.0,0.0,0.0
465,465,465.0,0,0.0,0.0,0.0,0.0
466,466,466.0,0,0.0,0.0,0.0,0.0
467,467,467.0,0,0.0,0.0,0.0,0.0
468,468,468.0,0,0.0,0.0,0.0,0.0
469,469,469.0,0,0.0,0.0,0.0,0.0
470,470,470.0,0,0.0,0.0,0.0,0.0
471,471,471.0,0,0.0,0.0,0.0,0.0
472,472,472.0,0,0.0,0.0,0.0,0.0
473,473,473.0,0,0.0,0.0,0.0,0.0
474,474,474.0,0,0.0,0.0,0.0,0.0
475,475,475.0,0,0.0,0.0,0.0,0.0
476,476,476.0,0,0.0,0.0,0.0,0.0
477,477,477.0,0,0.0,0.0,0.0,0.0
478,478,478.0,0,0.0,0.0,0.0,0.0
479,479,479.0,0,0.0,0.0,0.0,0.0
480,480,480.0,1,0.0061728395061728,0.0,0.0,0.0
481,481,481.0,0,0.0,1.0,1.0,1.0
482,482,482.0,1,0.0062893081761006,1.0,1.0,1.0
483,483,483.0,1,0.0062893081761006,1.0,1.0,1.0
484,484,484.0,1,0.0061728395061728,1.0,1.0,1.0
485,485,485.0,1,0.0061728395061728,1.0,1.0,1.0
486,486,486.0,0,0.0,1.0,1.0,1.0
487,487,487.0,2,0.0124223602484472,1.0,1.0,1.0
488,488,488.0,2,0.0124223602484472,1.0,1.0,1.0
489,489,489.0,1,0.0062111801242236,1.0,1.0,1.0
490,490,490.0,1,0.0060240963855421,1.0,1.0,1.0
491,491,491.0,1,0.0060240963855421,1.0,1.0,1.0
492,492,492.0,0,0.0,1.0,1.0,1.0
493,493,493.0,1,0.005813953488372,1.0,1.0,1.0
494,494,494.0,1,0.0056497175141242,1.0,1.0,1.0
495,495,495.0,3,0.0169491525423728,1.0,1.0,1.0
496,496,496.0,1,0.0056497175141242,1.0,1.0,1.0
497,497,497.0,2,0.0112994350282485,1.0,1.0,1.0
498,498,498.0,2,0.0112359550561797,1.0,1.0,1.0
499,499,499.0,4,0.0224719101123595,1.0,1.0,1.0
500,500,500.0,1,0.0055555555555555,1.0,1.0,1.0
501,501,501.0,3,0.0166666666666666,1.0,1.0,1.0
502,502,502.0,4,0.0219780219780219,1.0,1.0,1.0
503,503,503.0,2,0.0109890109890109,1.0,1.0,1.0
504,504,504.0,4,0.0222222222222222,1.0,1.0,1.0
505,505,505.0,4,0.0222222222222222,1.0,1.0,1.0
506,506,506.0,2,0.0112994350282485,1.0,1.0,1.0
507,507,507.0,6,0.0338983050847457,1.0,1.0,1.0
508,508,508.0,1,0.0056179775280898,1.0,1.0,1.0
509,509,509.0,2,0.0112359550561797,1.0,1.0,1.0
510,510,510.0,4,0.0218579234972677,1.0,1.0,1.0
